NewFileName;Code;Designation;SubFamily;PriceTierId;Price1
TOP-001-top-beige.jpg;TOP-001;Топ;Топ;T01;8800
TS-001-tshirt-blue-glitter.jpg;TS-001;Футболка;Футболка;T02;12800
BL-001-blouse-white-pearl.jpg;BL-001;Блуза;Блуза;T03;15000
BL-002-blouse-print-rhinestone.jpg;BL-002;Блуза;Блуза;T03;15000
BL-003-blouse-peplum-white.jpg;BL-003;Блуза;Блуза;T03;15000
BL-004-blouse-abstract-blue.jpg;BL-004;Блуза;Блуза;T03;15000
RS-001-shirt-stripe-blue.jpg;RS-001;Рубашка;Рубашка;T04;14000
BK-001-wrap-hood-white.jpg;BK-001;Накидка;Накидка;T06;15000
K2-001-suit-print-bw.jpg;K2-001;Костюм с брюками;Костюм с брюками;T08;40000
K2-002-suit-white-summer.jpg;K2-002;Костюм с брюками;Костюм с брюками;T13;30000
PJ-001-blazer-dark.jpg;PJ-001;Пиджак;Пиджак;T14;28000
BR-001-pants-brown-vishnya.jpg;BR-001;Брюки;Брюки;T15;13000
BR-002-pants-denim-marya.jpg;BR-002;Брюки;Брюки;T16;17800
BR-003-pants-white-summer.jpg;BR-003;Брюки;Брюки;T15;13000
SH-001-shorts-denim-love.jpg;SH-001;Шорты;Шорты;T17;16800
SK-001-skirt-black-classic.jpg;SK-001;Юбка;Юбка;T18;15000
DR-001-dress-mustard-shirt.jpg;DR-001;Платье;Платье;T10;20000
DR-002-dress-floral-white.jpg;DR-002;Платье;Платье;T11;25000
